code_color;id;copic_code;name;family
"#71ba70";78442823694;"G09";"Veronese Green";"G"
"#d0e4c1";78442889230;"G12";"Sea Green";"G"
"#8fc790";78443020302;"G14";"Apple Green";"G"
"#5ab892";78443151374;"G16";"Malachite";"G"
"#00a87c";78443282446;"G17";"Forest Green";"G"
"#2cae85";78443380750;"G19";"Bright Parrot Green";"G"
"#edf3d8";78443511822;"G20";"Wax White";"G"
"#c3e0c8";78443610126;"G21";"Lime Green";"G"
"#bfdbb0";78443642894;"G24";"Willow";"G"
"#008960";78901608462;"G28";"Ocean Green";"G"
"#237056";78443839502;"G29";"Pine Tree Green";"G"
"#e4efda";78443872270;"G40";"Dim Green";"G"
"#d7e7a7";78443937806;"G43";"Pistachio";"G"
"#579d73";78443970574;"G46";"Mistletoe";"G"
"#cad6b8";78444068878;"G82";"Spring Dim Green";"G"
"#99bda5";78444134414;"G85";"Verdigris";"G"
"#909f81";78444199950;"G94";"Grayish Olive";"G"
"#557342";78444298254;"G99";"Olive";"G"
"#e9e9e8";78444363790;"N0";"Neutral Gray";"N"
"#dedfde";78444429326;"N1";"Neutral Gray";"N"
"#272726";78444494862;"N10";"Neutral Gray";"N"
"#d4d5d4";78444560398;"N2";"Neutral Gray";"N"
"#cbcccb";78444625934;"N3";"Neutral Gray";"N"
"#b4b5b4";78444658702;"N4";"Neutral Gray";"N"
"#9e9f9e";78444691470;"N5";"Neutral Gray";"N"
"#8a8b8a";78444757006;"N6";"Neutral Gray";"N"
"#6d6e6d";78444789774;"N7";"Neutral Gray";"N"
"#595a59";78444920846;"N8";"Neutral Gray";"N"
"#414241";78444953614;"N9";"Neutral Gray";"N"
"#ffefe7";78445019150;"R00";"Pinkish White";"R"
"#fff2eb";78445084686;"R000";"Cherry White";"R"
"#fff1eb";78445117454;"R0000";"Pink Beryl";"R"
"#fbddd3";78445150222;"R01";"Pinkish Vanilla";"R"
"#f8cec0";78445182990;"R02";"Rose Salmon";"R"
"#eb8a79";78445215758;"R05";"Salmon Red";"R"
"#e36056";78445248526;"R08";"Vermillion";"R"
"#fcddce";78445281294;"R11";"Pale Cherry Pink";"R"
"#f8cebc";78445314062;"R12";"Light Tea Rose";"R"
"#ec948c";78445346830;"R14";"Light Rouge";"R"
"#e87c6b";91556577294;"R17";"Lipstick Orange";"R"
"#f9d3c9";78445379598;"R20";"Blush";"R"
"#f3bbb1";78445412366;"R21";"Sardonyx";"R"
"#f1b1ab";78445445134;"R22";"Light Prawn";"R"
"#e56e73";78445477902;"R24";"Prawn";"R"
"#e04b5c";78445543438;"R27";"Cadmium Red";"R"
"#da1c48";78445576206;"R29";"Lipstick Red";"R"
"#fce0d8";78445608974;"R30";"Pale Yellowish Pink";"R"
"#f3bbb3";78445674510;"R32";"Peach";"R"
"#e56a7b";78445772814;"R35";"Coral";"R"
"#da676d";91556610062;"R37";"Carmine";"R"
"#bb466d";78445936654;"R39";"Garnet";"R"
"#e17c85";78446034958;"R43";"Bougainvillaea";"R"
"#cf4860";78446297102;"R46";"Strong Red";"R"
"#d07b95";78446428174;"R56";"Currant";"R"
"#a84c65";78446559246;"R59";"Cardinal";"R"
"#edc5cc";78901641230;"R81";"Rose Pink";"R"
"#e694aa";78446755854;"R83";"Rose Mist";"R"
"#c76385";78446788622;"R85";"Rose Red";"R"
"#6b2839";78446821390;"R89";"Dark Red";"R"
"#eed6e0";78447017998;"RV00";"Water Lily";"RV"
"#f2dfe6";78447181838;"RV000";"Pale Purple";"RV"
"#f1e7ed";78447312910;"RV0000";"Evening Primrose";"RV"
"#f7d2dc";78447607822;"RV02";"Sugared Almond Pink";"RV"
"#ec9cb2";78447738894;"RV04";"Shock Pink";"RV"
"#e87fa1";78448001038;"RV06";"Cerise";"RV"
"#d36b9a";91556642830;"RV09";"Fuchsia";"RV"
"#fce9ed";78448394254;"RV10";"Pale Pink";"RV"
"#f7d3d5";78448525326;"RV11";"Pink";"RV"
"#f4c5ce";78448754702;"RV13";"Tender Pink";"RV"
"#ea8ca8";78448984078;"RV14";"Begonia Pink";"RV"
"#cf76a1";78449213454;"RV17";"Deep Magenta";"RV"
"#c46295";78449344526;"RV19";"Red Violet";"RV"
"#fce6e3";78449573902;"RV21";"Light Pink";"RV"
"#f2b5bd";78449704974;"RV23";"Pure Pink";"RV"
"#e98daf";78449836046;"RV25";"Dog Rose Flower";"RV"
"#df4272";78450032654;"RV29";"Crimson";"RV"
"#f7cfc7";78450163726;"RV32";"Shadow Pink";"RV"
"#f0a8a6";78450294798;"RV34";"Dark Pink";"RV"
"#f2b5af";78450393102;"RV42";"Salmon Pink";"RV"
"#f9c9de";78450458638;"RV52";"Cotton Candy";"RV"
"#e7a5ca";78450524174;"RV55";"Hollyhock";"RV"
"#ce9caa";78450622478;"RV63";"Begonia";"RV"
"#b86983";78450720782;"RV66";"Raspberry";"RV"
"#7f5362";78450819086;"RV69";"Peony";"RV"
"#e3d0d9";78450884622;"RV91";"Grayish Cherry";"RV"
"#e0b0bf";78450917390;"RV93";"Smoky Purple";"RV"
"#ad7c92";78451048462;"RV95";"Baby Blossoms";"RV"
"#4f4149";78451146766;"RV99";"Argyle Purple";"RV"
"#e9e9e8";91556675598;"T0";"Toner Gray";"T"
"#e7e7e4";78901673998;"T1";"Toner Gray";"T"
"#262725";78901706766;"T10";"Toner Gray";"T"
"#dcdcd8";78901739534;"T2";"Toner Gray";"T"
"#ccccc6";78901772302;"T3";"Toner Gray";"T"
"#b4b4af";78901805070;"T4";"Toner Gray";"T"
"#9e9e98";78901870606;"T5";"Toner Gray";"T"
"#898984";78901903374;"T6";"Toner Gray";"T"
"#6c6c69";78901936142;"T7";"Toner Gray";"T"
"#585955";78902001678;"T8";"Toner Gray";"T"
"#40413e";78902034446;"T9";"Toner Gray";"T"
"#e7e2e9";78902099982;"V000";"Pale Heath";"V"
"#eeebf0";78902132750;"V0000";"Rose Quartz";"V"
"#dfbccd";78902165518;"V01";"Heath";"V"
"#dca4be";78902198286;"V04";"Lilac";"V"
"#d99fbb";78902231054;"V05";"Azalea";"V"
"#c48db0";78902263822;"V06";"Lavender";"V"
